course_id,park_name,course_name,district,address,course_type,distance_km,surface_type,night_safe,level,linked_population_area,crowd_level,facility_score,route_available,source,confidence,note,population_score,route_score,confidence_score,final_recommend_score,recommend_grade,api_status
C001,북한산,북한산 3km 입문 트레일 코스,서대문구,홍은1동 산1-45,mountain,3,trail,N,medium,미연결,unknown,80,N,raw_park+manual_course,medium,"산지형 자연공원 기반 짧은 트레일 코스, 경사 있음",0,0,0,80,B,active
C002,북한산,북한산 6km 둘레길 러닝 코스,서대문구,홍은1동 산1-45,mountain,6,trail,N,hard,미연결,unknown,80,Y,raw_park+manual_demo_route,medium,"대표 루트 표시 후보, 자락길/트레일 중심 중장거리 코스",0,10,0,90,A,active
C003,북한산,북한산 10km 장거리 트레일 코스,서대문구,홍은1동 산1-45,mountain,10,trail,N,hard,미연결,unknown,80,N,raw_park+manual_course,medium,"대형 산지형 공원 기반 장거리 코스, 체력 요구 높음",0,0,0,80,B,active
C004,인왕산,인왕산 2.5km 산지 입문 코스,서대문구,홍제동 산1-1,mountain,2.5,trail,N,medium,(R1) 독립관앞 (서01-210),low,78,N,raw_park+population_summary,medium,"산지형 코스, 바위/오르막 구간 있어 초보자는 주의",5,0,0,83,B,active
C005,인왕산,인왕산 5km 경사 트레일 코스,서대문구,홍제동 산1-1,mountain,5,trail,N,hard,(R1) 독립관앞 (서01-210),low,78,Y,raw_park+manual_demo_route,medium,"대표 루트 표시 후보, 경사와 자연환경이 뚜렷한 산지형 코스",5,10,0,93,A,active
C006,인왕산,인왕산 7km 확장 트레일 코스,서대문구,홍제동 산1-1,mountain,7,trail,N,hard,(R1) 독립관앞 (서01-210),low,78,N,raw_park+manual_course,medium,"장거리 산지형 러닝 후보, 야간 러닝 비추천",5,0,0,83,B,active
C007,안산,안산 2km 자락길 초보 코스,서대문구,연희 산 2-5 일대,trail,2,mixed,N,easy,(R14) 연대정문,high,90,N,raw_park+population_summary,high,"자락길 기반 짧은 코스, 주변 유동인구 high로 혼잡 주의",-15,0,5,80,B,active
C008,안산,안산 4km 자락길 순환 코스,서대문구,연희 산 2-5 일대,trail,4,mixed,N,medium,(R14) 연대정문,high,90,Y,raw_park+manual_demo_route,high,"대표 루트 표시 후보, 자락길/둘레길 중심 러닝 적합 코스",-15,10,5,90,A,active
C009,안산,안산 6km 둘레길 확장 코스,서대문구,연희 산 2-5 일대,trail,6,trail,N,medium,(R14) 연대정문,high,90,N,raw_park+population_summary,high,"대형 도시자연공원 기반 확장 코스, 일부 경사 존재",-15,0,5,80,B,active
C010,안산,안산 8km 장거리 숲길 코스,서대문구,연희 산 2-5 일대,trail,8,trail,N,hard,(R14) 연대정문,high,90,N,raw_park+manual_course,medium,"안산 대형 면적을 활용한 장거리 러닝 후보, 체력 요구 높음",-15,0,0,75,B,active
