name,avg_population,crowd_level,latitude,longitude,risk_color,,high_threshold,5478.0344,,상위 30 퍼센트 기준 값 이 값이상이면 high
(R4) 박스스퀘어지역,2416.164034,low,37.5584,126.941,green,,low_threshold,2416.671446,,하위 30 퍼센트 기준 값 이 값 미만 low
(R5) 굴다리앞,3324.335358,medium,37.5576,126.9403,orange,,,,,
(R7) 연대중앙문화사앞,4215.809235,medium,37.5618,126.9369,orange,,,,,
(R8) 홍미닭발앞,2184.991495,low,37.5574,126.9377,green,,,,,
(R9) 사격장앞,4478.465201,medium,37.5572,126.9389,orange,,,,,
(R10) 창서초교옆,4597.868773,medium,37.556,126.9361,orange,,,,,
(R12) 현대백화점(좌),6979.518293,high,37.5563,126.9358,red,,,,,
(R14) 연대정문,19237.34143,high,37.5658,126.9383,red,,,,,
(R15) 스타광장,46214.64034,high,37.5591,126.9369,red,,,,,
(R16) 신촌역(2호선),21832.53827,high,37.5551,126.9369,red,,,,,
(R23) 신촌역광장(경의선),8595.020656,high,37.5598,126.942,red,,,,,
(R24) 소도적앞,2186.312578,low,37.5568,126.9374,green,,,,,
(R25) 신촌생고기(아웃백),4709.795869,medium,37.5565,126.9382,orange,,,,,
(R26) 명물길(봉구비어),2678.0887,medium,37.5578,126.9373,orange,,,,,
(R28) 신촌역광장 맞은편,8368.287971,high,37.5556,126.9369,red,,,,,
(R29) 신촌박스퀘어,2416.798299,medium,37.5585,126.9409,orange,,,,,
(R30) 이화52번가골목,2444.103281,medium,37.5591,126.9465,orange,,,,,
(R31) 영타운빌딩,3529.277035,medium,37.5579,126.9454,orange,,,,,
(R32) 이화52번가,1067.076549,low,37.5593,126.9464,green,,,,,
(R33) 이화여대길,5102.663426,medium,37.5588,126.9461,orange,,,,,
(R34) 이대골목(옷),2803.070474,medium,37.5577,126.9457,orange,,,,,
(R36) 이대입구,10798.68408,high,37.5568,126.9469,red,,,,,
(R37) 대현공원(이대),11689.95234,high,37.5598,126.9465,red,,,,,
(R1) 독립관앞 (서01-210),1667.622047,low,37.5733,126.9591,green,,,,,
(R2) 서대문형무소역사관 전시관 앞,843.3293963,low,37.574,126.9582,green,,,,,
(R3) 방문자센터앞 (서01-215),158.0144357,low,37.5747,126.957,green,,,,,
(R4) 서대문형무소 옥사터,858.7256991,low,37.5745,126.9578,green,,,,,
